LED_Current(A)	PD_Current(A)	Irradiance(W/cm2)
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000021e-03	5.618398000000000142e-05	4.214852213053263126e-04
6.210526315789473631e-03	3.817276799999999928e-04	2.863673518379594631e-03
1.142105263157894637e-02	7.077746800000000917e-04	5.309637509377344855e-03
1.663157894736842085e-02	1.029922679999999841e-03	7.726351687921979156e-03
2.184210526315789533e-02	1.348040679999999887e-03	1.011283330832708077e-02
2.705263157894736981e-02	1.661300679999999988e-03	1.246287081770442590e-02
3.226315789473684081e-02	1.970490679999999974e-03	1.478237569392347982e-02
3.747368421052631876e-02	2.275670680000000355e-03	1.707179804951237945e-02
4.268421052631578977e-02	2.576920680000000224e-03	1.933173803450862968e-02
4.789473684210526078e-02	2.874490680000000263e-03	2.156407111777944655e-02
5.310526315789473872e-02	3.168210680000000182e-03	2.376752198049512585e-02
5.831578947368420973e-02	3.458490680000000147e-03	2.594516639159789861e-02
6.352631578947368074e-02	3.745300680000000337e-03	2.809677929482370939e-02
6.873684210526315175e-02	4.028520679999999729e-03	3.022146046511627743e-02
7.394736842105263663e-02	4.308520680000000463e-03	3.232198559639910124e-02
7.915789473684210764e-02	4.584800679999999871e-03	3.439460375093773142e-02
8.436842105263157865e-02	4.857350679999999747e-03	3.643923990997749440e-02
8.957894736842104966e-02	5.125940679999999722e-03	3.845416864216053693e-02
9.478947368421052067e-02	5.390400679999999937e-03	4.043811462865716522e-02
1.000000000000000056e-01	5.650370679999999930e-03	4.238837719429857515e-02
