LED_Current(A)	PD_Current(A)	Irradiance(W/cm2)
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000021e-03	5.609928999999999258e-05	4.208498874718679078e-04
1.200000000000000025e-02	7.429852899999999684e-04	5.573783120780194562e-03
2.300000000000000308e-02	1.416614289999999993e-03	1.062726399099774878e-02
3.400000000000000244e-02	2.070394289999999849e-03	1.553184013503375663e-02
4.500000000000000527e-02	2.706344289999999993e-03	2.030265783945986446e-02
5.600000000000000810e-02	3.325444290000000025e-03	2.494706894223555974e-02
6.700000000000000400e-02	3.928254290000000523e-03	2.946927449362340967e-02
7.800000000000001377e-02	4.515464289999999992e-03	3.387445078769692197e-02
8.900000000000000966e-02	5.085944289999999937e-03	3.815412070517629206e-02
1.000000000000000056e-01	5.637834290000000130e-03	4.229433075768942313e-02
