LED_Current(A)	PD_Current(A)	Irradiance(W/cm2)
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000048e-04	4.806299999999999833e-08	1.780111111111111059e-07
1.588421052631578886e-02	2.055496799999999798e-05	7.612951111111109209e-05
3.166842105263158180e-02	4.116006799999999828e-05	1.524446962962962889e-04
4.745263157894737127e-02	6.105036799999999993e-05	2.261124740740740708e-04
6.323684210526316074e-02	8.029326800000001181e-05	2.973824740740741118e-04
7.902105263157895021e-02	9.896516800000000494e-05	3.665376592592592755e-04
9.480526315789473968e-02	1.172010680000000043e-04	4.340780296296296013e-04
1.105894736842105291e-01	1.349940680000000150e-04	4.999780296296296852e-04
1.263736842105263047e-01	1.522500680000000138e-04	5.638891407407407115e-04
1.421578947368420942e-01	1.691140679999999933e-04	6.263483999999999068e-04
1.579421052631578837e-01	1.856000680000000113e-04	6.874076592592592849e-04
1.737263157894736731e-01	2.017450679999999998e-04	7.472039555555554666e-04
1.895105263157894626e-01	2.175510680000000176e-04	8.057446962962962851e-04
2.052947368421052521e-01	2.330320680000000139e-04	8.630817333333333204e-04
2.210789473684210416e-01	2.482220679999999819e-04	9.193409925925924734e-04
2.368631578947368310e-01	2.631050679999999680e-04	9.744632148148146562e-04
2.526473684210526205e-01	2.777300679999999576e-04	1.028629881481481212e-03
2.684315789473684100e-01	2.920690679999999977e-04	1.081737288888888872e-03
2.842157894736841994e-01	3.061660679999999679e-04	1.133948399999999777e-03
2.999999999999999889e-01	3.199900679999999765e-04	1.185148399999999937e-03
