LED_Current(A)	PD_Current(A)	Irradiance(W/cm2)
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000048e-04	9.175099999999999883e-08	2.867218749999999881e-07
1.851578947368420769e-02	2.298637499999999894e-05	7.183242187499999415e-05
3.693157894736841945e-02	4.213967499999999732e-05	1.316864843749999882e-04
5.534736842105263122e-02	5.947757499999999949e-05	1.858674218749999823e-04
7.376315789473683604e-02	7.557257499999999362e-05	2.361642968749999767e-04
9.217894736842104086e-02	9.070987499999998843e-05	2.834683593749999638e-04
1.105947368421052596e-01	1.051863749999999980e-04	3.287074218749999632e-04
1.290105263157894366e-01	1.188843749999999878e-04	3.715136718749999364e-04
1.474263157894736553e-01	1.320233750000000122e-04	4.125730468750000383e-04
1.658421052631578740e-01	1.446673750000000084e-04	4.520855468750000026e-04
1.842578947368420650e-01	1.568723750000000042e-04	4.902261718749999827e-04
2.026736842105262837e-01	1.686763750000000017e-04	5.271136718750000323e-04
2.210894736842105024e-01	1.801383750000000081e-04	5.629324218750000322e-04
2.395052631578946933e-01	1.912893749999999967e-04	5.977792968749999492e-04
2.579210526315788843e-01	2.021463750000000183e-04	6.317074218750000098e-04
2.763368421052631030e-01	2.127343750000000057e-04	6.647949218749999670e-04
2.947526315789473217e-01	2.230663750000000010e-04	6.970824218750000132e-04
3.131684210526315404e-01	2.331623749999999938e-04	7.286324218749999941e-04
3.315842105263157591e-01	2.430393750000000078e-04	7.594980468750000277e-04
3.499999999999999778e-01	2.527183749999999942e-04	7.897449218749999413e-04
